French,Tamazight_Kabyle,LLM_Translation
"As-tu bien dormi cette nuit, Steeve ?",Tegneḍ akken iqwem iḍ-a a Steeve?,"Teṭṭseḍ mliḥ iḍ-agi, a Steeve?"
C'est le dernier appel pour le vol 333 vers Boston.,D asiwel aneggaru i inig 333 ar Boston.,D tiɣri taneggarut i usafag 333 ɣer Boston.
Pouvez-vous nous dire pourquoi vous êtes ici ?,Tzemrem ad aɣ-d-tinim iwacu i tellam d-a?,Tzemrem a ɣ-d-tinim acuɣer i tellam dagi?
Nous savons que vous apprenez l'allemand.,Neḥṣa d akken tlemdem talmanit.,Nessen belli tlemmedem talmant.
Qui a pêché ce poisson ?,Anwa i d-iseyyden islem-a ?,Anwa i d-iṣegden aslem-agi?
"Tom est riche, célibataire, un peu vieux, mais pas trop moche.","Tom d ameṛkanti, d aɛezri, d amɣaṛ cwiṭ, maca ur yecmit ara aṭas.","Tom d amerkanti, d aɛezri, d ameqqran cwiṭ, meɛna ur icmet ara aṭas."
Nous avons entendu un coup de feu.,Nesla i tiyita n ṛsaṣ.,Nesla i tyita n rrṣaṣ.
"Même si je continue à brouter, je surveille, dit la brebis.","Teqqaṛ-as tixsi: ulamma kesseɣ, ţzillimeɣ.","Ɣas akken kksay, ttɛassaɣ, tenna tixsi."
Il était assis sur le lit.,Yella yeqqim ɣef usu.,Yeqqim ɣef wusu.
"Que je la soulève ou la pose, elle n'arrête pas de grincer ; que faire d'elle, mon Dieu ?","Refdeɣ-ţ tujjaq, serseɣ-ţ tujjaq; amek ad as-geɣ a Rebbi?","Ama refdeɣ-tt ama sserseɣ-tt, ur tḥebbis ara asqeṛqeṛ; d acu ara s-geɣ, a Rebbi?"
"Quand la poule pond, c'est le coq qui a mal au cul.","Tayaziḍt teţarew, ayaziḍ iqreḥ-it ugugguḍ-is.","Mi tesserusay tayazit, d ayazid i iquṛḥen tgecrirt."
"Pour une fois que la poule se maquille, un faucon la saisit.","Yiwen wass i tkeḥḥel tyaziḍt, yewwi-ţ ufalku.","I tikkelt i deg tdehhen tyaziṭ, iwwi-tt lbaz."
Tu n'as aucune idée de ce qu'est le véritable amour.,Ur teẓriḍ ara d acu i d tayri n tidet.,Ur teẓriḍ ara d acu i d tayri n tidet.
Les années passent.,iseggasen yezrin,Iseggasen ttɛeddin.
La police va finir par t'attraper.,Amejjay idawa lǧarḥ-is,Ad k-id-ṭṭfen lbulis s taggara.
Ce n'est pas facile à faire.,Ur yeshil ara i umahil,Ur yishel ara i uxdam.
Pourrions-nous vous poser quelques questions ?,Nezmer ad awen-d-nefk kra n yisteqsiyen?,Nezmer a wen-nesteqsi kra n isesteqsiyen ?
Pourrions-nous te poser quelques questions ?,Nezmer ad ak-d-nefk kra n yisteqsiyen?,Nezmer a k-nesteqsi kra n iseqsiyen?
Personne ne dit ça.,Ulac win i d-yennan akka.,Yiwen ur yeqqar aya.
Pourrions-nous te poser quelques questions ?,Wissen ma nezmer ak-d nefk kra n yiseqsiyen?,Nezmer a k-nseqsi kra n yiseqsiyen?
Personne ne dit ça.,Yiwen ur d-yenni akka.,Yiwen ur d-yeqqar aya.
Je suis un peu en colère contre toi.,Aql-i rfiɣ ciṭ fell-ak.,Refɣeɣ cwiṭ fell-ak.
Je n'ai pas pu vous rencontrer à l'aéroport.,Ulamek ar ad nemlil deg unafag.,Ur zmireɣ ara ad d-mlileɣ yid-wen deg unafag.
Je me rendormais.,Tuɣ-iyi bɣiɣ ad uɣaleɣ ar yiḍes.,Lliɣ ttuɣaleɣ ad gganeɣ.
C'est ici qu'ils ont l'habitude de souper.,Dagi i nnumen teţţen imensi.,Dagi i tennumen ad tteccen imensi.
Je me rendormais.,Tuɣ lliɣ ţnadiɣ tuɣalin ar yiḍes.,Ttuɣaleɣ gganeɣ.
"Distribuez les cartes, s'il vous plaît.",Feṛqet tikerḍiwin-nni di leɛnaya-nwen.,"Bḍet tikarḍiwin, ma ulac uɣilif."
"Distribuez les cartes, s'il vous plaît.",Di leɛnaya-k fṛeq tikerḍiwin-nni.,"Freget tikarḍiwin, ma ulac uɣilif."
Je crains que nous ne puissions vous aider.,Ugadeɣ ur nettizmir ara ad k-nɛiwen.,Ugadeɣ ur nezmir ara a k-wen-ɛiwen.
Je crains que nous ne puissions vous aider.,Ugadeɣ ur nettizmir ara ad ken-nɛiwen.,Ugadeɣ ur nezmir ara a k-wen-ɛiwen.
Je crains que nous ayons un problème.,Ugadeɣ nesɛa ugur.,Ugadeɣ belli nesɛa ugur.
Je crains que nous n'ayons pas le choix.,Ugadeɣ ur nseɛɛu ara d acu ara nefren.,Ugadeɣ ur nesɛi ara lixyar.
Je crains que nous n'ayons pas le choix.,Ugadeɣ ur nseɛɛu ara d acu ara nextiṛ.,Ugadeɣ ur nesɛi ara lextiyar.
Je crains que nous ne soyons pas à l'heure.,Ugadeɣ ur nettaweḍ ara deg lawan.,Ugadeɣ ur nettili ara di lweqt.
Il fait chaud aujourd'hui.,D azɣal ass-a,Yezɣel lḥal assa.
Appelle-moi quand tu seras arrivé.,Sawel-iyi-d melmi tewwḍeḍ.,Siwel-iyi-d m'ara tewḍeḍ.
Plutôt rompre que plier.,Ad nerreẓ wala ad neknu.,Ad yerrez wala ad yeknu.
Marie devrait commencer.,Ilaq ad tebdu Marie.,Marie ilaq ad tebdu.
"S'il pleut demain, nous n'irons pas à la montagne.","Ma d ageffur azekka, ur neţṛuḥu ara ar wedrar.","Ma yewwet-d ugeffur azekka, ur ntteddu ara ɣer wedrar."
Plutôt rompre que plier.,Ad neṛṛeẓ wala ad neknu.,Ad yerrez wala ad yeknu.
Appelle-moi quand tu seras arrivé.,Siwel-iyi-d mar ad taweḍeḍ.,Siwel-iyi-d m'ara tewḍeḍ.
Appelle-moi quand tu seras arrivé.,"Ticki tewweḍeḍ kan, siwel-iyi-d.",Siwel-iyi-d m'ara tewḍeḍ.
Il se sentit agrippé par l'arrière par un bras puissant.,Iḥulfa yella ufus iǧehden i yas-d-ijguglen si deffir.,Iḥul s yiman-is yeṭṭef-it-id yiwen n yiɣil iǧehden seg deffir.
Il était en colère que je l'aie insulté.,Tuɣ yerfa segmi i-t-regmeɣ.,Yerfa imi t-regmeɣ.
"Puisque l'aube a déjà pointé, tu devrais en rester là, mon vieux.","Imi k-ifut lefjer ay amɣaṛ, xas sserked iman-ik.","Imi d-yuli lfeǧer yakan, yif-it ma tḥebseḍ dinna, a amɣar."
"Dans une maison à deux entrées, on entre ou on sort par-ci par-là.","Axxam bu snat n tebbura, ekcem sya, teffeɣeḍ sya!","Deg uxxam n snat n tewwura, tkeččmeḍ tteffɣeḍ syagi d syenna."
Il ne manque jamais d'écrire à sa mère chaque semaine.,Werǧin iţţu ad yaru i yemma-s yal imalas.,Ur yettizgil ara ad yaru i yemma-s yal dduṛt.
"Tu peux commérer autant que tu veux, sale mégère !","Cbebec dinna neɣ qim, a tamɣaṛt n daɛwessu!","Tzemreḍ ad tcecreḍ ayen tebɣiḍ, a tamcumt!"
Mon chien ne mord pas.,Aqjun-iw ur yettkerric ara.,Aqjun-iw ur ikerr ara.
"Lundi, je vais en Allemagne.","Ass n Arim, ad dduɣ ar tmurt n Walman.","Letnayen, ad dduɣ ɣer Lalman."
"Dans la robe kabyle, on trouve plus d'une couleur. On y trouve, le noir, le bleu, le vert, le mauve, le bleu marine, le rose, le rouge, l'argenté, le turquoise, le violet, le blanc, le jaune, l'orange, et le gris. Elle est multicolore.","Deg tkessiwt neɣ deg tqendurt n yiqbayliyen, nettaf ugar n yiwen n yinni. Yella deg-s aberkan, azegzaw, adal, amekzay, agawzi, azwawaɣ, azeggaɣ, aẓerfan, agennaw, ademdam, amellal, awraɣ, ačinay akked amliɣed. D tazerɣeft.","Di tqendurt taqbaylit, nttaf ugar n yiwet n tinit. Nttaf deg-s: aberkan, azegzaw n yigenni, azegzaw, amuvi, anili n lebḥer, awerdi, azeggaɣ, afḍi, aturkwaz, violet, amellal, awraɣ, ačinay, d umliɣed. Tesɛa waṭas n yiniten."
Qu'est-ce que c'est que ça là-bas ?,D acu-t wihin i yellan dihin?,D acu-t wayen akkin?
"C'est quoi ça, là-bas ?",D acu i yeḍṛan dihin?,D acu-t wihin?
"Si vous parlez trop vite, je ne serai pas capable de comprendre.","Ma tettmeslayeḍ s uɣiwel, ur ttizmireɣ ara ad k-id-fehmeɣ.","Ma tessawalem s tazzla, ur zmireɣ ara ad fehmeɣ."
"Si tu parles trop vite, je ne pourrai pas comprendre.","Ma tettmeslayeḍ s uɣiwel, ur ttizmireɣ ara ad k-id-fehmeɣ.","Ma tmeslayeḍ s tazzla, ur zmireɣ ara ad fehmeɣ."
"Si vous parlez trop vite, je ne serai pas capable de comprendre.","Ma tettmeslayem s uɣiwel, ur ttizmireɣ ara ad ken-id-fehmeɣ.","Ma tessawalem s tazzla, ur zmireɣ ara ad fehmeɣ."
"Si vous parlez trop vite, je ne serai pas capable de comprendre.","Ma theddṛem s uɣiwel, ur ttqaḍaɛeɣ ara ad ken-id-fehmeɣ.","Ma tessawalem s tazzla, ur zmireɣ ara ad fehmeɣ."
"Si tu parles trop vite, je ne pourrai pas comprendre.","Ma theddṛem s uɣiwel, ur ttqaḍaɛeɣ ara ad ken-id-fehmeɣ.","Ma tmeslayeḍ s tazzla, ur zmireɣ ara ad fehmeɣ."
"Si tu parles trop vite, je ne pourrai pas comprendre.","Ma theddṛemt s uɣiwel, ur ttizmireɣ ara ad kent-id-fehmeɣ.","Ma tmeslayeḍ s tazzla, ur zmireɣ ara ad fehmeɣ."
Je veux faire une pause.,Bɣiɣ ad steɛfuɣ kra.,Bɣiɣ ad sgunfuɣ.
Je veux faire une pause.,Bɣiɣ ad ḥebseɣ kra.,Bɣiɣ ad sgunfuɣ.
Je veux prendre du repos.,Bɣiɣ ad ḥebseɣ kra.,Bɣiɣ ad steɛfuɣ.
Je veux prendre du repos.,Bɣiɣ ad steɛfuɣ kra.,Bɣiɣ ad steɛfuɣ.
Est-ce que vous voulez manger ?,Tebɣam ad teččem?,Tebɣam ad teččem?
Est-ce que tu veux manger ?,Tebɣiḍ ad teččeḍ?,Tebɣiḍ ad teččeḍ?
J'apprends le quechua.,Ttisineɣ tutlayt takičwatt.,Llemdeɣ taketcuat.
J'apprends le quechua.,Ḥeffḍeɣ tulayt takičwatt.,Llemdeɣ taketcuat.
Est-ce qu'il y a de l'eau ?,Llan waman?,Yella waman?
C'est seulement maintenant que je suis malade.,Tura kan i helkeɣ.,D tura kan i helkeɣ.
Ce n'est que maintenant que je suis malade.,Tura kan i d-yeɣli fell-i lehlak.,D tura kan i muḍneɣ.
Ce n'est que maintenant que je suis malade.,Tura kan i qqleɣ helkeɣ.,D tura kan i helkeɣ.
Je passe Noël en famille.,Ad sɛeddiɣ tameɣṛa n Nwal akked twacult-iw.,Sɛeddayeɣ Lɛid n tlalit d twacult-iw.
Il faudra me dire ce que tu veux manger.,Ilaq ad yi-d-tiniḍ d acu i tebɣiḍ ad teččeḍ.,Ilaq ad iyi-d-tinid ayen tebɣid ad teččed.
J'ai fini ma journée.,Fukkeɣ ass-inu.,Kfiɣ ass-iw.
Vous allez me faire rougir.,Ad yi-terreḍ d azeggaɣ.,Ad iyi-tesszeggwaghem.
Il habite au bout de la rue.,Izdeɣ ar yixef n ubrid.,Izeddeɣ deg taggara n uzniq.
Je veux terminer ce jeu ce week-end.,Bɣiɣ ad fakkeɣ urar-a di taggara n ssmana-ya.,Bɣiɣ ad ffakeɣ urar-agi deg taggara n dduṛt-agi.
Cela fait du bien de faire une petite pause.,D ayen yelhan ma testeɛfaḍ kra.,Yelha ad nerr cwiṭ n usgunfu.
Cela fait du bien de faire une petite pause.,Kra n usteɛfu d ayen yelhan.,Yelha ad nerr cwiṭ n usgunfu.
Cela fait du bien de faire une petite pause.,Kra n usgunfu d ayen yelhan.,Yelha ad d-nawi yiwet n tgunfit tameẓyant.
Je me rase une fois par semaine.,Ttekkseɣ tamart-iw abrid i ssmana.,Ttsellibeɣ yiwet n tikkelt di dduṛt.
Laisse-moi faire la vaisselle.,Anef-iyi ad sirdeɣ leqlul.,Eǧǧ-iyi ad ssirdeɣ lmeun.
Laisse-moi faire la vaisselle.,Anef-iyi ad sirdeɣ iqejḍuṛen.,Eǧǧ-iyi ad ssirdeɣ lmeun.
Laisse-moi faire la vaisselle.,Eǧǧ-iyi ad sirdeɣ iqejḍuṛen.,Eǧǧ-iyi ad ssirdeɣ lmeun.
Laisse-moi faire la vaisselle.,Eǧǧ-iyi ad sirdeɣ iqbac.,Eǧǧ-iyi ad ssirdeɣ lmmaɛun.
Ça va être dur de choisir un gagnant.,Yuɛeṛ uxtiṛi n win ara irebḥen.,Ad yiwɛer ufran n win ara yerbeḥen.
La maladie nous apprend combien la santé est précieuse.,Aṭṭen yesselmad-aɣ acḥal i teswa tezmert.,Aṭṭan isselmad-aɣ acḥal teswa tezmert.
Mon chien ne mord pas.,Ur ittkerric ara weqjun-iw.,Aqjun-iw ur ikerr ara.
"Lundi, je vais en Allemagne.","Ass n letnayen, ad ṛuḥeɣ ar Lalman.","Letnayen, ad dduɣ ɣer Lalman."
Et que faites-vous le dimanche ?,D acu i txeddmem ass n lḥedd?,I d acu i txeddmem ass n lḥed?
"Samedi soir, je fête mon anniversaire.",Ad xedmeɣ tameɣṛa n umuli-w ass n ssebt tameddit.,"Iḍ n ssebt, ad sfuggeleɣ amulli-inu."
"S'il pleut demain, nous n'irons pas à la montagne.","Ma yeɣli ugeffur azekka, ur nettṛuḥu ara ar wedrar.","Ma yewwet-d ugeffur azekka, ur ntteddu ara ɣer wedrar."
J'allais suggérer la même chose.,Swaswa d annect-nni i bɣiɣ ad d-sumreɣ.,Lliɣ ad d-sumreɣ ayen-nni kan.
Je pense qu'on devrait essayer de faire ça.,Cukkeɣ ilaq ad neɛṛeḍ ad nexdem aya.,Nwiɣ ilaq a n-eɛreḍ a n-exdem aya.
Est-ce que c'est vrai que tu ne sais pas nager ?,Ɛni d tidett ur tessineḍ ara ad tɛumeḍ?,D tidet belli ur tessineḍ ara ad t-ɛummeḍ?
Est-ce que c'est vrai que tu ne sais pas nager ?,D tidett ur tessineḍ ara ad tɛumeḍ?,D tidet belli ur tessineḍ ara ad t-ɛummeḍ?
Est-il vrai que vous ne savez pas nager ?,D tidett ur tessinem ara tɛumem?,D tidet belli ur tessinem ara ad tɛummem?
Donne-moi une semaine.,Efk-iyi-d ssmana.,Ef-iyi-d yiwet n ddurt.
Donne-moi une semaine.,Efk-iyi-d dduṛt.,Efk-iyi yiwet n ddurt.
Donnez-moi une semaine.,Fkem-iyi-d ssmana.,Efket-iyi yiwet n ddurt.
Donnez-moi une semaine.,Fkemt-iyi-d dduṛt.,Efket-iyi yiwet n ddurt.
Je dois aller chercher de l'argent à la banque.,Ilaq ad ṛuḥeɣ ad d-suffɣeɣ idrimen di lbanka.,Ilaq ad ruḥeɣ ad d-awiɣ idrimen di lbanka.
C'était le but.,D iswi.,D iswi i yella.
Je n'ai jamais vu cet homme de ma vie.,Leɛmeṛ walaɣ argaz-a di ddunit-iw.,Ur ẓriɣ ara yakk argaz-agi deg leɛmer-iw.
Je n'ai jamais vu cet homme de ma vie.,Leɛmeṛ walaɣ-t wergaz-a di ddunit-iw.,Ur ẓriɣ ara yakk argaz-agi deg leɛmer-iw.
Je ne voulais pas y croire.,Ugiɣ ad amneɣ.,Ur bɣiɣ ara ad amneɣ.
J'ai sommeil.,Bɣiɣ ad ṭṭseɣ.,Yagh-iyi nuddem.
Je leur ai dit que je reviendrais.,Nniɣ-asen ad d-uɣaleɣ.,Nniɣ-asen belli ad d-uɣaleɣ.
Elle est passée par tous les pays.,Tekka-d akk timura.,Tɛedda-d seg tmura akk.
Je vivrai comme je veux.,Ad idireɣ akken bɣiɣ.,Ad idireɣ akken i bɣiɣ.
Lis seulement le deuxième tome du livre.,Ɣer kan aḥric wis sin n udlis.,Ɣer kan wis sin n wedlis.
Veux-tu manger ?,Tebɣid ad teččeḍ ?,Tebɣiḍ ad teččeḍ?
J'ai essayé d'en savoir plus sur cet homme.,Nudaɣ ad ẓreɣ ugar ɣef wergaz-agi.,Ɛreḍ-eɣ ad issineɣ ugar ɣef wergaz-agi.
Je sais que vous n'arriverez jamais à en avoir un.,Ẓriɣ ur tezmirem ara ad d-tawim yiwen.,Zriɣ belli werǧin ara tessaweḍem ad tesɛum yiwen.
Je voudrais que tu emménages avec moi.,Bɣiɣ ad tzedɣeḍ yid-i.,Bɣiɣ ad d-tzedɣeḍ yid-i.
Je veux que nous vivions ensemble.,Bɣiɣ ad nezdeɣ akken.,Bɣiɣ ad nidir lwaḥid.
Je vous déteste tous autant que vous êtes.,Kerheɣ-ken yakk akken ma tellam.,Kraheɣ-kun akken ma tellam.
J'espère que vous crèverez tous.,Ssarmeɣ ad temmtem yakk.,Ssarameɣ aț-țemtem akk.
Mon lacet s'est rompu.,Qqaṛsent tnelwa inu.,Yeqqers umrar n uṣebbaḍ-iw.
On se voit en classe.,Ad nemmẓer deg tneɣrit.,An nemzer di tneɣrit.
Est-ce que tu regardais la télé hier soir à neuf heures ?,Telliḍ tettwaliḍ tiliẓri iḍelli ɣef tẓa ?,Ma tferreǧeḍ ttilivizyu iḍelli tameddit ɣef ttesɛa?
Repose-toi un peu ici.,Steɛfu cwiṭ dagi.,Steɛfu cwiṭ dagi.
Le concours se termine demain.,Timzizzelt ad tekfu azekka,Timzizelt ad tfakk azekka.
As-tu regardé dans le tiroir du bas ?,Tmuqleḍ deg leqjaṛ nni n wadda ?,Tmuqleḍ deg ujerrar n wadda?
Retournons au début.,Ad nuɣal ɣer tazwara.,A n-nuɣal ɣer tazwara.
Nous avons besoin d'un peu de repos.,Neḥwaǧ cwiṭ n usgunfu.,Neḥwaǧ cwiṭ n ugunfu.
Regarde le prix.,Wali ssuma.,Muqel ssuma.
Tom écrit à un ami.,Tom yettaru i yiwen umeddakel.,Tom yettaru i umeddakul.
"D'abord, je vous montre comment ça fonctionne.","Deg tazwara, ad awen-d-sekneɣ amek i tetteddu.","Di tazwara, ad awen-d-mleɣ amek i itetteddu."
C'est ce qui m'a sauvé.,D aya i y-isellken.,D ayen i yi-isellken.
Je vois la peur dans tes yeux.,Ttwaliɣ tuggda deg wallen-ik.,Ttwaliɣ tugdi deg wallen-ik.
Je vois la peur dans vos yeux.,Ttwaliɣ tuggda deg wallen nwen.,Ttwaliɣ tugdi deg wallen-nwen.
C'est arrivé en octobre.,Teḍra-d deg tubeṛ.,Yeḍra deg tuber.
"Aujourd'hui, nous ne savons pas ce qui arrivera demain.","Ass-a, ur neẓri ara ayen ara d-yedṛun azekka.","Ass-a, ur neẓri ara ayen ara d-yeḍrun azekka."
Je suis un homme toujours malade.,Nekk d argaz zgiɣ uḍneɣ.,Nekk d argaz amuḍin daymen.
Il faut l'inciter à devenir professeur !,Ilaq-as useḥṛec akken ad d-yeffeɣ d aselmad!,Ilaq a t-nessebɣes ad yuɣal d aselmad.
Qui a configuré ce serveur ?,Anwa i swelen aqeddac-agi?,Anwa i isegmen aqeddach-agi?
Elle a acheté une douzaine d'œufs.,Tuɣ-d kra n tnac n tmellalin.,Tesɣa-d tnac n tmellalin.
Suis-je autorisé à me garer ici ?,Zemreɣ ad gaṛiɣ takeṛṛust-iw da?,Zmer-eɣ ad sbeddeɣ takerrust dagi?
Il me faut aller à la maison.,Ilaq ad ṛuḥeɣ ar wexxam.,Ilaq ad ruḥeɣ s axxam.
Je dois aller au travail.,Ilaq ad ṛuḥeɣ ar uxeddim.,Ilaq ad ṛuḥeɣ ɣer uxeddim.
J'ai besoin de votre coopération.,Uḥwaǧeɣ attekki-nwen.,Ḥwaǧeɣ amyiwen-nwen.
Je n'en parle pas.,Ur heddṛeɣ ara ɣef annect-a.,Ur ttmeslayeɣ ara fell-as.
Je n'en parle pas.,Ur heddṛeɣ ara fell-as.,Ur ttmeslayeɣ ara fell-as.
Trop de lumière blesse les yeux.,Aṭas n tafat tetteqṛaḥ allen.,Aṭas n tafat tesseqraḥ allen.
L'entrée de la bibliothèque est libre.,Zemren akk medden ad kecmen ar temkeṛḍit.,Anekcum n temkarḍit d abaṭel.
La lumière voyage plus vite que le son.,Tafat tettazzal akteṛ n ṣṣut.,Tafat tettazzal ugar n yimesli.
La lumière voyage plus vite que le son.,Tafat tettazzal ugar n yimesli.,Tafat tettazzal ugar n yimesli.
Vous vous êtes rasés.,Tseṭṭlem tamart-nwen.,Theffefem.
Ils se sont rasés.,Seṭṭlen tamart-nsen.,Ḥefffen.
Ils se sont rasés.,Kksen tamart-nsen.,Ḥefffen iman-nsen.
Je ne me suis pas encore rasé.,Ur seṭṭleɣ ara ɛad tamart-iw.,Urɛad sseṭṭleɣ.
Je ne me suis pas encore rasé.,Ur kkiseɣ ara ɛad tamart-iw.,Werɛad ur ṣeṭṭleɣ.
Je ne me suis pas encore rasé.,Ur-ɛad seṭṭleɣ tamart-iw.,Werɛad ur ṣeṭṭleɣ.
Je n'ai aucun désir de comprendre ce qui se passe à l'intérieur de ta tête.,Ur bɣiɣ ara akk ad ẓṛeɣ d acu i tettxemmimeḍ g allaɣ-ik.,Ur sɛiɣ ula d yiwen n lebɣi ad fehmeɣ ayen i d-iḍerrun deg daxel n uqerru-yk.
Vous êtes montées vite dans l'arbre.,Tulim aseklu-nni s uɣiwel.,Tulimt s tazzla deg useklu.
Ils sont montés vite dans l'arbre.,Ulin aseklu-nni s uɣiwel.,Ulin s tazzla deg ttejra.
Ils sont montés vite dans l'arbre.,Ulin aseklu-nni s tɣawla.,Ulin s tazzla deg tejra.
Ils sont montés vite dans l'arbre.,Ulin ttejṛa-nni s tɣawla.,Ulin s tazzla deg ttejra.
Ils sont montés vite dans l'arbre.,Ulin aseklu-nni s usixef.,Ulin s tazzla deg ttejra.
 Pleure-t-il quelquefois la perte de sa mère ? ,Yettru tikwal ɣef yemma-s mi ulac-itt ?,Yettru tikwal lmut n yemma-s?
C'est très agréable d'écouter de la musique.,D lεali mliḥ wi ismuzegten i uẓawan.,D ayen yelhan aṭas usel n uẓawan.
Elle parle français.,Thedder tafransist.,Tettmeslay tafransist.
Asseyons-nous ici.,Yya-w ad neqqimet da.,A n-qqim dagi.
La chatte est coincée dans l'arbre.,Tamcict teḥṣel deg waddag.,Tamcict teḥsel deg ttejra.
Salut ! Comment ça va ?,"Azul, amek tettiliḍ ?",Azul! Amek i telliḍ?
"Un groupe d'étrangers est arrivé à Edo, Tokyo en d'autres termes.","Atta tewweḍ-d yiwet n terbaεt ibeṛṛaniyen ɣer Edo, neɣ Ṭukyu.","Yiwet n terbaɛt n iberraniyen tewweḍ-d ɣer Edo, Tokyo s wawal nniḍen."
Trouvez donc un consensus !,Afet-d ihi amek ara temsefhamem !,Afet ihi amtawa!
Une marche de quelques minutes me conduisit au rivage.,Kra n ddqayeq d tikli wwint-iyi ɣer ugemmaḍ.,Tikli n kra n tminutin tewwi-yi ɣer rrif n lebḥer.
Rome ne s'est pas faite en un jour.,Ruma mačči deg yiwen wass i d-tella.,Roma ur d-tebna ara deg yiwen n wass.
Ce séisme fut le plus important que l'on ait jamais vécu.,Zznezla-yi tugar akk tid nesεedda.,Azenzel-agi d win meqqren akk i d-yeḍran yakan.
Il n'y a personne chez nous.,Ulac wi yellan ɣur-neɣ.,Ulac yiwen ɣur-nneɣ.
Je ne t'ai pas vu jusqu'à présent.,Ur k-ẓriɣ armi d tura.,Ur k-walix ara ar tura.
Les fleurs sont jaunes.,Tijeǧǧigin d tiwraɣin.,Ijeǧǧigen d iwraɣen.
J'ai essayé d'aller au travail en vélo mais finalement cela ne me convenait pas.,Σerḍeɣ ad ruḥeɣ ɣer lxedma s uvilu maca ɣer tagara ufiɣ mačči d ayen i y-iwulmen.,Ɛreḍeɣ ad ruḥeɣ ɣer uxeddim s ubisiklet meɛna deg uneggaru ur iyi-iwafeq ara.
Voulez-vous y aller en premier ?,Tebɣiḍ ad truḥeḍ d amezwaru ?,Tebɣam ad truḥem d imezwura?
J'ai de mauvaises nouvelles pour vous.,Wwiɣ-ak-d lexbar ur nessefraḥ.,Sɛiɣ isallen n diri i kunwi.
Chaque saison est dotée de sa propre beauté.,Yal tasemhuyt s ccbaḥa-s.,Yal tasmilt s ccbaḥa-s.
"Prends courage, Jean, tu es sur la bonne voie !","Ili-k d abɣas a Jean, aql-ik deg ubrid yelhan.","Ssebber iman-ik, a Jean, atan-ak deg ubrid yelhan!"
Je loue une chambre pour un mois.,Ssekraweɣ taxxamt ɣef yiwen wayyur.,Kruɣ taxxamt i waggur.
Tu devrais aller consulter un dentiste.,Ilaq ad teẓreḍ ṭṭbib n tuɣmas.,Ilaq ad tṛuḥeḍ ɣer uṭbib n tuɣmas.
Pourrions-nous nous entretenir seul à seul ?,Nezmer ad nmeslay weḥd-neɣ kan ?,Nezmer ad nemmeslay weḥd-nneɣ?
Macha parle le russe et voudrait que quelqu'un la traduise en kabyle.,Maca teţmeslay s trusit u tra ad ţ-ţwaseɣti ar teqbaylit.,Macha tessawal tarusit u tebɣa ad yili win ara tt-id-yessuqlen ɣer teqbaylit.
Il est clair qu'il est coupable.,Iban d netta i tt-ixedmen.,Iban belli d amednub.
J'avais déjà vendu le livre en question quand il m'a téléphoné.,Lliɣ zzenzeɣ yakan adlis-nni mi yi-d-yessawel.,Zenz-eɣ yakan adlis-nni mi d-isawel.
Elle porte des vêtements hauts en couleur pour attirer l'attention.,Tettlus ayen iɣman akken ara tt-id-muqlen medden.,Telsa iceṭṭiḍen n yiniten iwakken ad d-tejbed lbal.
Le danger est passé.,Amihi iεedda.,Iɛedda lxiḍer.
Le Canada borde la partie nord des USA.,Kanada tezga-d ɣer tama ugafa n tmurt n Marikan.,Kanada iḥudd tama n ugafa n Marikan.
L'homme affamé a dévoré la nourriture.,Argaz yelluẓen yeɣli ɣef wučči.,Argaz yelluẓen yečča učči.
Il n'a pas été capable d'ouvrir la boîte.,Ur yessaweḍ ara ad d-yeldi tabewwaṭ-nni.,Ur yezmir ara ad yeldi tasenduqt.
L'enfant nourrissait le singe avec la banane.,Agrud yella yettqewwit ibki s tbanant.,Aqcic isseččay iddew s tbanant.
"Reculez de quelques pas, s'il vous plait.",Ttxilwat uɣalet s kra isurifen ɣer deffir.,"Wexxret kra n tsuraf, di leɛnaya-nwen."
Je refuse d'être ignoré plus longtemps.,Ur qebbleɣ ad ttwanekṛeɣ ugar n wakka.,Ugiɣ ad iyi-ttun ugar n waya.
Le cœur fidèle ne doit jamais être remis en question.,Ul imekdi ur ilaq ad icukket ḥedd deg-s.,Ul iṣfan ur ilaq ara ad t-id-yali ccek.
J'accepte le défi !,Qebleɣ acqirrew-a !,Qebleɣ aḥaddi!
Nous n'accompagnerons pas les enfants à l'école.,Ur netteddu ara d igerdan s aɣerbaz.,Ur ntteddu ara d warrac ɣer uɣerbaz.
Qu'est-ce que Tom et Mary essaient de faire ?,Acu yebɣa ad yeg Tom akk d Mary ?,D acu i tteɛraḍen Tom d Mary ad xedmen?
Il faisait nuit quand nous sommes arrivés au village.,Tella teɣli-d tallast mi d-newweḍ ɣer taddart.,Yella yiḍ mi nweḍ ɣer taddart.
